firstName;lastName;nation abbrName
Edson;Arantes Nascimento;Brazil
Diego;Maradona;Argentina
Ronaldo Lu«s;Naz«≠rio de Lima;Brazil
Edson;Arantes Nascimento;Brazil
Diego;Maradona;Argentina
Lionel;Messi;Argentina
C. Ronaldo;dos Santos Aveiro;Portugal
Ronaldo;de Assis Moreira;Brazil
Lionel;Messi;Argentina
Johan;Cruyff;Holland
Ronaldo Lu«s;Naz«≠rio de Lima;Brazil
Lev;Yashin;Russia
Paolo;Maldini;Italy
Roberto;Baggio;Italy
Thierry;Henry;France
Franco;Baresi;Italy
Marco;van Basten;Holland
Ruud;Gullit;Holland
George;Best;Northern Ireland
Lothar;Matth«œus;Germany
Eus«∏bio;da Silva Ferreira;Portugal
Neymar;da Silva Santos Jr.;Brazil
Ryan;Giggs;Wales
Javier;Zanetti;Argentina
Alessandro;Nesta;Italy
Fabio;Cannavaro;Italy
Rivaldo V«tor;Borba Ferreira;Brazil
Hristo;Stoichkov;Bulgaria
Lu«s Filipe;Madeira Caeiro Figo;Portugal
Ruud;van Nistelrooy;Holland
Ra«–l;Gonz«≠lez Blanco;Spain
Bobby;Moore;England
Neymar;da Silva Santos Jr.;Brazil
Emilio;Butrague«Òo Santos;Spain
Gary;Lineker;England
Alessandro;Del Piero;Italy
Carles;Puyol Saforcada;Spain
Dennis;Bergkamp;Holland
Peter;Schmeichel;Denmark
Paolo;Maldini;Italy
Sergio;Ramos Garc«a;Spain
Luis;Su«≠rez;Uruguay
Luka;Modrié?;Croatia
Eden;Hazard;Belgium
Kevin;De Bruyne;Belgium
David;De Gea Quintana;Spain
Alan;Shearer;England
Paul;Scholes;England
Marcel;Desailly;France
Clarence;Seedorf;Holland
Robert;Pir«˘s;France
Michael;Ballack;Germany
Michael;Owen;England
David;Trezeguet;France
Pavel;Nedvé?d;Czech Republic
Andriy;Shevchenko;Ukraine
Steven;Gerrard;England
Edwin;van der Sar;Holland
Sergio;Ramos Garc«a;Spain
Fernando;Hierro Ruiz;Spain
Gheorghe;Hagi;Romania
Luis;Su«≠rez;Uruguay
Luka;Modrié?;Croatia
Eden;Hazard;Belgium
Edson;Arantes Nascimento;Brazil
S«¸crates;Vieira de Oliveira;Brazil
Lothar;Matth«œus;Germany
Kevin;De Bruyne;Belgium
David;De Gea Quintana;Spain
Michael;Laudrup;Denmark
Diego;Maradona;Argentina
Lev;Yashin;Russia
Ronaldo;de Assis Moreira;Brazil
Patrick;Kluivert;Holland
Patrick;Vieira;France
Roberto Carlos;da Silva Rocha;Brazil
Laurent;Blanc;France
Marco;van Basten;Holland
Franco;Baresi;Italy
Miroslav;Klose;Germany
